student_id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average score,total score,pass math,pass reading,pass writing,pass all,performance band,best subject,reading-writing gap,reading-math gap,writing-math gap
28,female,group C,bachelor's degree,standard,none,67,69,75,70.33,211,True,True,True,True,Good,Writing,-6,2,8
29,male,group C,high school,standard,none,70,70,65,68.33,205,True,True,True,True,Average,Math,5,0,-5
30,female,group D,master's degree,standard,none,62,70,75,69.0,207,True,True,True,True,Average,Writing,-5,8,13
31,female,group D,some college,standard,none,69,74,74,72.33,217,True,True,True,True,Good,Reading,0,5,5
32,female,group B,some college,standard,none,63,65,61,63.0,189,True,True,True,True,Average,Reading,4,2,-2
33,female,group E,master's degree,free/reduced,none,56,72,65,64.33,193,False,True,True,False,Average,Reading,7,16,9
34,male,group D,some college,standard,none,40,42,38,40.0,120,False,False,False,False,At Risk,Reading,4,2,-2
35,male,group E,some college,standard,none,97,87,82,88.67,266,True,True,True,True,Excellent,Math,5,-10,-15
36,male,group E,associate's degree,standard,completed,81,81,79,80.33,241,True,True,True,True,Excellent,Math,2,0,-2
37,female,group D,associate's degree,standard,none,74,81,83,79.33,238,True,True,True,True,Good,Writing,-2,7,9
38,female,group D,some high school,free/reduced,none,50,64,59,57.67,173,False,True,False,False,At Risk,Reading,5,14,9
39,female,group D,associate's degree,free/reduced,completed,75,90,88,84.33,253,True,True,True,True,Excellent,Reading,2,15,13
40,male,group B,associate's degree,free/reduced,none,57,56,57,56.67,170,False,False,False,False,At Risk,Math,-1,-1,0
41,male,group C,associate's degree,free/reduced,none,55,61,54,56.67,170,False,True,False,False,At Risk,Reading,7,6,-1
42,female,group C,associate's degree,standard,none,58,73,68,66.33,199,False,True,True,False,Average,Reading,5,15,10
43,female,group B,associate's degree,standard,none,53,58,65,58.67,176,False,False,True,False,At Risk,Writing,-7,5,12
44,male,group B,some college,free/reduced,completed,59,65,66,63.33,190,False,True,True,False,Average,Writing,-1,6,7
45,female,group E,associate's degree,free/reduced,none,50,56,54,53.33,160,False,False,False,False,At Risk,Reading,2,6,4
46,male,group B,associate's degree,standard,none,65,54,57,58.67,176,True,False,False,False,At Risk,Math,-3,-11,-8
47,female,group A,associate's degree,standard,completed,55,65,62,60.67,182,False,True,True,False,Average,Reading,3,10,7
48,female,group C,high school,standard,none,66,71,76,71.0,213,True,True,True,True,Good,Writing,-5,5,10
49,female,group D,associate's degree,free/reduced,completed,57,74,76,69.0,207,False,True,True,False,Average,Writing,-2,17,19
50,male,group C,high school,standard,completed,82,84,82,82.67,248,True,True,True,True,Excellent,Reading,2,2,0
51,male,group E,some college,standard,none,53,55,48,52.0,156,False,False,False,False,At Risk,Reading,7,2,-5
52,male,group E,associate's degree,free/reduced,completed,77,69,68,71.33,214,True,True,True,True,Good,Math,1,-8,-9
53,male,group C,some college,standard,none,53,44,42,46.33,139,False,False,False,False,At Risk,Math,2,-9,-11
54,male,group D,high school,standard,none,88,78,75,80.33,241,True,True,True,True,Excellent,Math,3,-10,-13
55,female,group C,some high school,free/reduced,completed,71,84,87,80.67,242,True,True,True,True,Excellent,Writing,-3,13,16
56,female,group C,high school,free/reduced,none,33,41,43,39.0,117,False,False,False,False,At Risk,Writing,-2,8,10
57,female,group E,associate's degree,standard,completed,82,85,86,84.33,253,True,True,True,True,Excellent,Writing,-1,3,4
58,male,group D,associate's degree,standard,none,52,55,49,52.0,156,False,False,False,False,At Risk,Reading,6,3,-3
59,male,group D,some college,standard,completed,58,59,58,58.33,175,False,False,False,False,At Risk,Reading,1,1,0
60,female,group C,some high school,free/reduced,none,0,17,10,9.0,27,False,False,False,False,At Risk,Reading,7,17,10
61,male,group E,bachelor's degree,free/reduced,completed,79,74,72,75.0,225,True,True,True,True,Good,Math,2,-5,-7
62,male,group A,some high school,free/reduced,none,39,39,34,37.33,112,False,False,False,False,At Risk,Math,5,0,-5
63,male,group A,associate's degree,free/reduced,none,62,61,55,59.33,178,True,True,False,False,At Risk,Math,6,-1,-7
64,female,group C,associate's degree,standard,none,69,80,71,73.33,220,True,True,True,True,Good,Reading,9,11,2
65,female,group D,some high school,standard,none,59,58,59,58.67,176,False,False,False,False,At Risk,Math,-1,-1,0
66,male,group B,some high school,standard,none,67,64,61,64.0,192,True,True,True,True,Average,Math,3,-3,-6
67,male,group D,some high school,free/reduced,none,45,37,37,39.67,119,False,False,False,False,At Risk,Math,0,-8,-8
68,female,group C,some college,standard,none,60,72,74,68.67,206,True,True,True,True,Average,Writing,-2,12,14
69,male,group B,associate's degree,free/reduced,none,61,58,56,58.33,175,True,False,False,False,At Risk,Math,2,-3,-5
70,female,group C,associate's degree,standard,none,39,64,57,53.33,160,False,True,False,False,At Risk,Reading,7,25,18
71,female,group D,some college,free/reduced,completed,58,63,73,64.67,194,False,True,True,False,Average,Writing,-10,5,15
72,male,group D,some college,standard,completed,63,55,63,60.33,181,True,False,True,False,Average,Math,-8,-8,0
73,female,group A,associate's degree,free/reduced,none,41,51,48,46.67,140,False,False,False,False,At Risk,Reading,3,10,7
74,male,group C,some high school,free/reduced,none,61,57,56,58.0,174,True,False,False,False,At Risk,Math,1,-4,-5
75,male,group C,some high school,standard,none,49,49,41,46.33,139,False,False,False,False,At Risk,Math,8,0,-8
76,male,group B,associate's degree,free/reduced,none,44,41,38,41.0,123,False,False,False,False,At Risk,Math,3,-3,-6
77,male,group E,some high school,standard,none,30,26,22,26.0,78,False,False,False,False,At Risk,Math,4,-4,-8
78,male,group A,bachelor's degree,standard,completed,80,78,81,79.67,239,True,True,True,True,Good,Writing,-3,-2,1
79,female,group D,some high school,standard,completed,61,74,72,69.0,207,True,True,True,True,Average,Reading,2,13,11
80,female,group E,master's degree,standard,none,62,68,68,66.0,198,True,True,True,True,Average,Reading,0,6,6
81,female,group B,associate's degree,standard,none,47,49,50,48.67,146,False,False,False,False,At Risk,Writing,-1,2,3
82,male,group B,high school,free/reduced,none,49,45,45,46.33,139,False,False,False,False,At Risk,Math,0,-4,-4
83,male,group A,some college,free/reduced,completed,50,47,54,50.33,151,False,False,False,False,At Risk,Writing,-7,-3,4
84,male,group E,associate's degree,standard,none,72,64,63,66.33,199,True,True,True,True,Average,Math,1,-8,-9
85,male,group D,high school,free/reduced,none,42,39,34,38.33,115,False,False,False,False,At Risk,Math,5,-3,-8
86,female,group C,some college,standard,none,73,80,82,78.33,235,True,True,True,True,Good,Writing,-2,7,9
87,female,group C,some college,free/reduced,none,76,83,88,82.33,247,True,True,True,True,Excellent,Writing,-5,7,12
88,female,group D,associate's degree,standard,none,71,71,74,72.0,216,True,True,True,True,Good,Writing,-3,0,3
89,female,group A,some college,standard,none,58,70,67,65.0,195,False,True,True,False,Average,Reading,3,12,9
90,female,group D,some high school,standard,none,73,86,82,80.33,241,True,True,True,True,Excellent,Reading,4,13,9
91,female,group C,bachelor's degree,standard,none,65,72,74,70.33,211,True,True,True,True,Good,Writing,-2,7,9
92,male,group C,high school,free/reduced,none,27,34,36,32.33,97,False,False,False,False,At Risk,Writing,-2,7,9
93,male,group C,high school,standard,none,71,79,71,73.67,221,True,True,True,True,Good,Reading,8,8,0
94,male,group C,associate's degree,free/reduced,completed,43,45,50,46.0,138,False,False,False,False,At Risk,Writing,-5,2,7
95,female,group B,some college,standard,none,79,86,92,85.67,257,True,True,True,True,Excellent,Writing,-6,7,13
96,male,group C,associate's degree,free/reduced,completed,78,81,82,80.33,241,True,True,True,True,Excellent,Writing,-1,3,4
97,male,group B,some high school,standard,completed,65,66,62,64.33,193,True,True,True,True,Average,Reading,4,1,-3
98,female,group E,some college,standard,completed,63,72,70,68.33,205,True,True,True,True,Average,Reading,2,9,7
99,female,group D,some college,free/reduced,none,58,67,62,62.33,187,False,True,True,False,Average,Reading,5,9,4
100,female,group D,bachelor's degree,standard,none,65,67,62,64.67,194,True,True,True,True,Average,Reading,5,2,-3
101,male,group B,some college,standard,none,79,67,67,71.0,213,True,True,True,True,Good,Math,0,-12,-12
102,male,group D,bachelor's degree,standard,completed,68,74,74,72.0,216,True,True,True,True,Good,Reading,0,6,6
103,female,group D,associate's degree,standard,none,85,91,89,88.33,265,True,True,True,True,Excellent,Reading,2,6,4
104,male,group B,high school,standard,completed,60,44,47,50.33,151,True,False,False,False,At Risk,Math,-3,-16,-13
105,male,group C,some college,standard,completed,98,86,90,91.33,274,True,True,True,True,Excellent,Math,-4,-12,-8
106,female,group C,some college,standard,none,58,67,72,65.67,197,False,True,True,False,Average,Writing,-5,9,14
107,female,group D,master's degree,standard,none,87,100,100,95.67,287,True,True,True,True,Excellent,Reading,0,13,13
108,male,group E,associate's degree,standard,completed,66,63,64,64.33,193,True,True,True,True,Average,Math,-1,-3,-2
109,female,group B,associate's degree,free/reduced,none,52,76,70,66.0,198,False,True,True,False,Average,Reading,6,24,18
110,female,group B,some high school,standard,none,70,64,72,68.67,206,True,True,True,True,Average,Writing,-8,-6,2
111,female,group D,associate's degree,free/reduced,completed,77,89,98,88.0,264,True,True,True,True,Excellent,Writing,-9,12,21
112,male,group C,high school,standard,none,62,55,49,55.33,166,True,False,False,False,At Risk,Math,6,-7,-13
113,male,group A,associate's degree,standard,none,54,53,47,51.33,154,False,False,False,False,At Risk,Math,6,-1,-7
114,female,group D,some college,standard,none,51,58,54,54.33,163,False,False,False,False,At Risk,Reading,4,7,3
115,female,group E,bachelor's degree,standard,completed,99,100,100,99.67,299,True,True,True,True,Excellent,Reading,0,1,1
116,male,group C,high school,standard,none,84,77,74,78.33,235,True,True,True,True,Good,Math,3,-7,-10
117,female,group B,bachelor's degree,free/reduced,none,75,85,82,80.67,242,True,True,True,True,Excellent,Reading,3,10,7
118,female,group D,bachelor's degree,standard,none,78,82,79,79.67,239,True,True,True,True,Good,Reading,3,4,1
119,female,group D,some high school,standard,none,51,63,61,58.33,175,False,True,True,False,At Risk,Reading,2,12,10
120,female,group C,some college,standard,none,55,69,65,63.0,189,False,True,True,False,Average,Reading,4,14,10
121,female,group C,bachelor's degree,standard,completed,79,92,89,86.67,260,True,True,True,True,Excellent,Reading,3,13,10
122,male,group B,associate's degree,standard,completed,91,89,92,90.67,272,True,True,True,True,Excellent,Writing,-3,-2,1
123,female,group C,some college,standard,completed,88,93,93,91.33,274,True,True,True,True,Excellent,Reading,0,5,5
124,male,group D,high school,free/reduced,none,63,57,56,58.67,176,True,False,False,False,At Risk,Math,1,-6,-7
125,male,group E,some college,standard,none,83,80,73,78.67,236,True,True,True,True,Good,Math,7,-3,-10
126,female,group B,high school,standard,none,87,95,86,89.33,268,True,True,True,True,Excellent,Reading,9,8,-1
127,male,group B,some high school,standard,none,72,68,67,69.0,207,True,True,True,True,Average,Math,1,-4,-5
128,male,group D,some college,standard,completed,65,77,74,72.0,216,True,True,True,True,Good,Reading,3,12,9
129,male,group D,master's degree,standard,none,82,82,74,79.33,238,True,True,True,True,Good,Math,8,0,-8
130,female,group A,bachelor's degree,standard,none,51,49,51,50.33,151,False,False,False,False,At Risk,Math,-2,-2,0
131,male,group D,master's degree,standard,none,89,84,82,85.0,255,True,True,True,True,Excellent,Math,2,-5,-7
132,male,group C,some high school,free/reduced,completed,53,37,40,43.33,130,False,False,False,False,At Risk,Math,-3,-16,-13
133,male,group E,some college,free/reduced,completed,87,74,70,77.0,231,True,True,True,True,Good,Math,4,-13,-17
134,female,group C,some college,standard,completed,75,81,84,80.0,240,True,True,True,True,Excellent,Writing,-3,6,9
135,male,group D,bachelor's degree,free/reduced,completed,74,79,75,76.0,228,True,True,True,True,Good,Reading,4,5,1
136,male,group C,bachelor's degree,standard,none,58,55,48,53.67,161,False,False,False,False,At Risk,Math,7,-3,-10
137,male,group B,some high school,standard,completed,51,54,41,48.67,146,False,False,False,False,At Risk,Reading,13,3,-10
138,male,group E,high school,standard,none,70,55,56,60.33,181,True,False,False,False,Average,Math,-1,-15,-14
139,female,group C,associate's degree,standard,none,59,66,67,64.0,192,False,True,True,False,Average,Writing,-1,7,8
140,male,group D,some college,standard,completed,71,61,69,67.0,201,True,True,True,True,Average,Math,-8,-10,-2
141,female,group D,some high school,standard,none,76,72,71,73.0,219,True,True,True,True,Good,Math,1,-4,-5
142,female,group C,some college,free/reduced,none,59,62,64,61.67,185,False,True,True,False,Average,Writing,-2,3,5
143,female,group E,some college,free/reduced,completed,42,55,54,50.33,151,False,False,False,False,At Risk,Reading,1,13,12
144,male,group A,high school,standard,none,57,43,47,49.0,147,False,False,False,False,At Risk,Math,-4,-14,-10
145,male,group D,some college,standard,none,88,73,78,79.67,239,True,True,True,True,Good,Math,-5,-15,-10
146,female,group C,some college,free/reduced,none,22,39,33,31.33,94,False,False,False,False,At Risk,Reading,6,17,11
147,male,group B,some high school,standard,none,88,84,75,82.33,247,True,True,True,True,Excellent,Math,9,-4,-13
148,male,group C,associate's degree,free/reduced,none,73,68,66,69.0,207,True,True,True,True,Average,Math,2,-5,-7
149,female,group D,bachelor's degree,standard,completed,68,75,81,74.67,224,True,True,True,True,Good,Writing,-6,7,13
150,male,group E,associate's degree,free/reduced,completed,100,100,93,97.67,293,True,True,True,True,Excellent,Math,7,0,-7
151,male,group A,some high school,standard,completed,62,67,69,66.0,198,True,True,True,True,Average,Writing,-2,5,7
152,male,group A,bachelor's degree,standard,none,77,67,68,70.67,212,True,True,True,True,Good,Math,-1,-10,-9
153,female,group B,associate's degree,standard,completed,59,70,66,65.0,195,False,True,True,False,Average,Reading,4,11,7
154,male,group D,bachelor's degree,standard,none,54,49,47,50.0,150,False,False,False,False,At Risk,Math,2,-5,-7
155,male,group D,some high school,standard,none,62,67,61,63.33,190,True,True,True,True,Average,Reading,6,5,-1
156,female,group C,some college,standard,completed,70,89,88,82.33,247,True,True,True,True,Excellent,Reading,1,19,18
157,female,group E,high school,free/reduced,completed,66,74,78,72.67,218,True,True,True,True,Good,Writing,-4,8,12
158,male,group B,some college,free/reduced,none,60,60,60,60.0,180,True,True,True,True,Average,Math,0,0,0
159,female,group B,associate's degree,standard,completed,61,86,87,78.0,234,True,True,True,True,Good,Writing,-1,25,26
160,male,group D,associate's degree,free/reduced,none,66,62,64,64.0,192,True,True,True,True,Average,Math,-2,-4,-2
161,male,group B,associate's degree,free/reduced,completed,82,78,74,78.0,234,True,True,True,True,Good,Math,4,-4,-8
162,female,group E,some college,free/reduced,completed,75,88,85,82.67,248,True,True,True,True,Excellent,Reading,3,13,10
163,male,group B,master's degree,free/reduced,none,49,53,52,51.33,154,False,False,False,False,At Risk,Reading,1,4,3
164,male,group C,high school,standard,none,52,53,49,51.33,154,False,False,False,False,At Risk,Reading,4,1,-3
165,female,group E,master's degree,standard,none,81,92,91,88.0,264,True,True,True,True,Excellent,Reading,1,11,10
166,female,group C,bachelor's degree,standard,completed,96,100,100,98.67,296,True,True,True,True,Excellent,Reading,0,4,4
167,male,group C,high school,free/reduced,completed,53,51,51,51.67,155,False,False,False,False,At Risk,Math,0,-2,-2
168,female,group B,master's degree,free/reduced,completed,58,76,78,70.67,212,False,True,True,False,Good,Writing,-2,18,20
169,female,group B,high school,standard,completed,68,83,78,76.33,229,True,True,True,True,Good,Reading,5,15,10
170,female,group C,some college,free/reduced,completed,67,75,70,70.67,212,True,True,True,True,Good,Reading,5,8,3
171,male,group A,high school,standard,completed,72,73,74,73.0,219,True,True,True,True,Good,Writing,-1,1,2
172,male,group E,some high school,standard,none,94,88,78,86.67,260,True,True,True,True,Excellent,Math,10,-6,-16
173,female,group D,some college,standard,none,79,86,81,82.0,246,True,True,True,True,Excellent,Reading,5,7,2
174,female,group C,associate's degree,standard,none,63,67,70,66.67,200,True,True,True,True,Average,Writing,-3,4,7
175,female,group C,bachelor's degree,free/reduced,completed,43,51,54,49.33,148,False,False,False,False,At Risk,Writing,-3,8,11
176,female,group C,master's degree,standard,completed,81,91,87,86.33,259,True,True,True,True,Excellent,Reading,4,10,6
177,female,group B,high school,free/reduced,completed,46,54,58,52.67,158,False,False,False,False,At Risk,Writing,-4,8,12
178,female,group C,associate's degree,standard,completed,71,77,77,75.0,225,True,True,True,True,Good,Reading,0,6,6
179,female,group B,master's degree,free/reduced,completed,52,70,62,61.33,184,False,True,True,False,Average,Reading,8,18,10
180,female,group D,some high school,standard,completed,97,100,100,99.0,297,True,True,True,True,Excellent,Reading,0,3,3
181,male,group C,master's degree,free/reduced,completed,62,68,75,68.33,205,True,True,True,True,Average,Writing,-7,6,13
182,female,group C,some college,free/reduced,none,46,64,66,58.67,176,False,True,True,False,At Risk,Writing,-2,18,20
183,female,group E,high school,standard,none,50,50,47,49.0,147,False,False,False,False,At Risk,Math,3,0,-3
184,female,group D,associate's degree,standard,none,65,69,70,68.0,204,True,True,True,True,Average,Writing,-1,4,5
185,male,group C,some high school,free/reduced,completed,45,52,49,48.67,146,False,False,False,False,At Risk,Reading,3,7,4
186,male,group C,associate's degree,free/reduced,completed,65,67,65,65.67,197,True,True,True,True,Average,Reading,2,2,0
187,male,group E,high school,standard,none,80,76,65,73.67,221,True,True,True,True,Good,Math,11,-4,-15
188,male,group D,some high school,standard,completed,62,66,68,65.33,196,True,True,True,True,Average,Writing,-2,4,6
189,male,group B,some high school,free/reduced,none,48,52,45,48.33,145,False,False,False,False,At Risk,Reading,7,4,-3
190,female,group C,bachelor's degree,standard,none,77,88,87,84.0,252,True,True,True,True,Excellent,Reading,1,11,10
191,female,group E,associate's degree,standard,none,66,65,69,66.67,200,True,True,True,True,Average,Writing,-4,-1,3
192,male,group D,some college,standard,completed,76,83,79,79.33,238,True,True,True,True,Good,Reading,4,7,3
193,female,group B,some high school,standard,none,62,64,66,64.0,192,True,True,True,True,Average,Writing,-2,2,4
194,male,group D,some college,standard,completed,77,62,62,67.0,201,True,True,True,True,Average,Math,0,-15,-15
195,female,group C,master's degree,standard,completed,69,84,85,79.33,238,True,True,True,True,Good,Writing,-1,15,16
196,male,group D,associate's degree,standard,none,61,55,52,56.0,168,True,False,False,False,At Risk,Math,3,-6,-9
197,male,group C,some high school,free/reduced,completed,59,69,65,64.33,193,False,True,True,False,Average,Reading,4,10,6
198,male,group E,high school,free/reduced,none,55,56,51,54.0,162,False,False,False,False,At Risk,Reading,5,1,-4
199,female,group B,some college,free/reduced,none,45,53,55,51.0,153,False,False,False,False,At Risk,Writing,-2,8,10
200,female,group B,bachelor's degree,free/reduced,none,78,79,76,77.67,233,True,True,True,True,Good,Reading,3,1,-2
201,female,group C,associate's degree,standard,completed,67,84,86,79.0,237,True,True,True,True,Good,Writing,-2,17,19
202,female,group D,some college,free/reduced,none,65,81,77,74.33,223,True,True,True,True,Good,Reading,4,16,12
203,male,group C,associate's degree,standard,none,69,77,69,71.67,215,True,True,True,True,Good,Reading,8,8,0
204,female,group B,associate's degree,standard,none,57,69,68,64.67,194,False,True,True,False,Average,Reading,1,12,11
205,male,group C,some college,standard,none,59,41,42,47.33,142,False,False,False,False,At Risk,Math,-1,-18,-17
206,male,group D,some high school,standard,completed,74,71,78,74.33,223,True,True,True,True,Good,Writing,-7,-3,4
207,male,group E,bachelor's degree,standard,none,82,62,62,68.67,206,True,True,True,True,Average,Math,0,-20,-20
208,male,group E,high school,standard,completed,81,80,76,79.0,237,True,True,True,True,Good,Math,4,-1,-5
209,female,group B,some college,free/reduced,none,74,81,76,77.0,231,True,True,True,True,Good,Reading,5,7,2
210,female,group B,some college,free/reduced,none,58,61,66,61.67,185,False,True,True,False,Average,Writing,-5,3,8
211,male,group D,some high school,free/reduced,completed,80,79,79,79.33,238,True,True,True,True,Good,Math,0,-1,-1
212,male,group C,some college,free/reduced,none,35,28,27,30.0,90,False,False,False,False,At Risk,Math,1,-7,-8
213,female,group C,high school,free/reduced,none,42,62,60,54.67,164,False,True,True,False,At Risk,Reading,2,20,18
214,male,group C,associate's degree,free/reduced,completed,60,51,56,55.67,167,True,False,False,False,At Risk,Math,-5,-9,-4
215,male,group E,high school,standard,completed,87,91,81,86.33,259,True,True,True,True,Excellent,Reading,10,4,-6
216,male,group B,some high school,standard,completed,84,83,75,80.67,242,True,True,True,True,Excellent,Math,8,-1,-9
217,female,group E,associate's degree,free/reduced,completed,83,86,88,85.67,257,True,True,True,True,Excellent,Writing,-2,3,5
218,female,group C,high school,free/reduced,none,34,42,39,38.33,115,False,False,False,False,At Risk,Reading,3,8,5
219,male,group B,high school,free/reduced,none,66,77,70,71.0,213,True,True,True,True,Good,Reading,7,11,4
220,male,group B,some high school,standard,completed,61,56,56,57.67,173,True,False,False,False,At Risk,Math,0,-5,-5
221,female,group D,high school,standard,completed,56,68,74,66.0,198,False,True,True,False,Average,Writing,-6,12,18
222,male,group B,associate's degree,standard,none,87,85,73,81.67,245,True,True,True,True,Excellent,Math,12,-2,-14
223,female,group C,some high school,free/reduced,none,55,65,62,60.67,182,False,True,True,False,Average,Reading,3,10,7
224,male,group D,some high school,standard,none,86,80,75,80.33,241,True,True,True,True,Excellent,Math,5,-6,-11
225,female,group B,associate's degree,standard,completed,52,66,73,63.67,191,False,True,True,False,Average,Writing,-7,14,21
226,female,group E,master's degree,free/reduced,none,45,56,54,51.67,155,False,False,False,False,At Risk,Reading,2,11,9
227,female,group C,some college,standard,none,72,72,71,71.67,215,True,True,True,True,Good,Math,1,0,-1
228,male,group D,high school,standard,none,57,50,54,53.67,161,False,False,False,False,At Risk,Math,-4,-7,-3
229,male,group A,some high school,free/reduced,none,68,72,64,68.0,204,True,True,True,True,Average,Reading,8,4,-4
230,female,group C,some college,standard,completed,88,95,94,92.33,277,True,True,True,True,Excellent,Reading,1,7,6
231,male,group D,some college,standard,none,76,64,66,68.67,206,True,True,True,True,Average,Math,-2,-12,-10
232,male,group C,associate's degree,standard,none,46,43,42,43.67,131,False,False,False,False,At Risk,Math,1,-3,-4
233,female,group B,bachelor's degree,standard,none,67,86,83,78.67,236,True,True,True,True,Good,Reading,3,19,16
234,male,group E,some high school,standard,none,92,87,78,85.67,257,True,True,True,True,Excellent,Math,9,-5,-14
235,male,group C,bachelor's degree,standard,completed,83,82,84,83.0,249,True,True,True,True,Excellent,Writing,-2,-1,1
236,male,group D,associate's degree,standard,none,80,75,77,77.33,232,True,True,True,True,Good,Math,-2,-5,-3
237,male,group D,bachelor's degree,free/reduced,none,63,66,67,65.33,196,True,True,True,True,Average,Writing,-1,3,4
238,female,group D,some high school,standard,completed,64,60,74,66.0,198,True,True,True,True,Average,Writing,-14,-4,10
239,male,group B,some college,standard,none,54,52,51,52.33,157,False,False,False,False,At Risk,Math,1,-2,-3
240,male,group C,associate's degree,standard,none,84,80,80,81.33,244,True,True,True,True,Excellent,Math,0,-4,-4
241,male,group D,high school,free/reduced,completed,73,68,66,69.0,207,True,True,True,True,Average,Math,2,-5,-7
242,female,group E,bachelor's degree,standard,none,80,83,83,82.0,246,True,True,True,True,Excellent,Reading,0,3,3
243,female,group D,high school,standard,none,56,52,55,54.33,163,False,False,False,False,At Risk,Math,-3,-4,-1
244,male,group E,some college,standard,none,59,51,43,51.0,153,False,False,False,False,At Risk,Math,8,-8,-16
245,male,group D,some high school,standard,none,75,74,69,72.67,218,True,True,True,True,Good,Math,5,-1,-6
246,male,group C,associate's degree,standard,none,85,76,71,77.33,232,True,True,True,True,Good,Math,5,-9,-14
247,male,group E,associate's degree,standard,none,89,76,74,79.67,239,True,True,True,True,Good,Math,2,-13,-15
248,female,group B,high school,standard,completed,58,70,68,65.33,196,False,True,True,False,Average,Reading,2,12,10
249,female,group B,high school,standard,none,65,64,62,63.67,191,True,True,True,True,Average,Math,2,-1,-3
250,male,group C,high school,standard,none,68,60,53,60.33,181,True,True,False,False,Average,Math,7,-8,-15
251,male,group A,some high school,standard,completed,47,49,49,48.33,145,False,False,False,False,At Risk,Reading,0,2,2
252,female,group D,some college,free/reduced,none,71,83,83,79.0,237,True,True,True,True,Good,Reading,0,12,12
253,female,group B,some high school,standard,completed,60,70,70,66.67,200,True,True,True,True,Average,Reading,0,10,10
254,male,group D,master's degree,standard,none,80,80,72,77.33,232,True,True,True,True,Good,Math,8,0,-8
255,male,group D,high school,standard,none,54,52,52,52.67,158,False,False,False,False,At Risk,Math,0,-2,-2
256,female,group E,some college,standard,none,62,73,70,68.33,205,True,True,True,True,Average,Reading,3,11,8
257,female,group C,associate's degree,free/reduced,none,64,73,68,68.33,205,True,True,True,True,Average,Reading,5,9,4
258,male,group C,associate's degree,standard,completed,78,77,77,77.33,232,True,True,True,True,Good,Math,0,-1,-1
259,female,group B,some college,standard,none,70,75,78,74.33,223,True,True,True,True,Good,Writing,-3,5,8
260,female,group C,master's degree,free/reduced,completed,65,81,81,75.67,227,True,True,True,True,Good,Reading,0,16,16
261,female,group C,some high school,free/reduced,completed,64,79,77,73.33,220,True,True,True,True,Good,Reading,2,15,13
262,male,group C,some college,standard,completed,79,79,78,78.67,236,True,True,True,True,Good,Math,1,0,-1
